Year,Team,Record,Winning Percentage
2011,Bulls,62-20,0.756
2012,Bulls,50-16,0.758
2013,Bulls,45-37,0.549
2014,Bulls,48-34,0.585
2015,Bulls,50-32,0.61
2016,Bulls,42-40,0.512
2017,Bulls,21-23,0.477
1971,Cavaliers,15-67,0.183
1972,Cavaliers,23-59,0.28
1973,Cavaliers,32-50,0.39
1974,Cavaliers,29-53,0.354
1975,Cavaliers,40-42,0.488
1976,Cavaliers,49-33,0.598
1977,Cavaliers,43-39,0.524
1978,Cavaliers,43-39,0.524
1979,Cavaliers,30-52,0.366
1980,Cavaliers,37-45,0.451
1981,Cavaliers,28-54,0.341
1982,Cavaliers,15-67,0.183
1983,Cavaliers,23-59,0.28
1984,Cavaliers,28-54,0.341
1985,Cavaliers,36-46,0.439
1986,Cavaliers,29-53,0.354
1987,Cavaliers,31-51,0.378
1988,Cavaliers,42-40,0.512
1989,Cavaliers,57-25,0.695
1990,Cavaliers,42-40,0.512
1991,Cavaliers,33-49,0.402
1992,Cavaliers,57-25,0.695
1993,Cavaliers,54-28,0.659
1994,Cavaliers,47-35,0.573
1995,Cavaliers,43-39,0.524
1996,Cavaliers,47-35,0.573
1997,Cavaliers,42-40,0.512
1998,Cavaliers,47-35,0.573
1999,Cavaliers,22-28,0.44
2000,Cavaliers,32-50,0.39
2001,Cavaliers,30-52,0.366
2002,Cavaliers,29-53,0.354
2003,Cavaliers,17-65,0.207
2004,Cavaliers,35-47,0.427
2005,Cavaliers,42-40,0.512
2006,Cavaliers,50-32,0.61
2007,Cavaliers,50-32,0.61
2008,Cavaliers,45-37,0.549
2009,Cavaliers,66-16,0.805
2010,Cavaliers,61-21,0.744
2011,Cavaliers,19-63,0.232
2012,Cavaliers,21-45,0.318
2013,Cavaliers,24-58,0.293
2014,Cavaliers,33-49,0.402
2015,Cavaliers,53-29,0.646
2016,Cavaliers,57-25,0.695
2017,Cavaliers,30-12,0.714
1947,Celtics,22-38,0.367
1948,Celtics,20-28,0.417
1949,Celtics,25-35,0.417
1950,Celtics,22-46,0.324
1951,Celtics,39-30,0.565
1952,Celtics,39-27,0.591
1953,Celtics,46-25,0.648
1954,Celtics,42-30,0.583
1955,Celtics,36-36,0.5
1956,Celtics,39-33,0.542
1957,Celtics,44-28,0.611
1958,Celtics,49-23,0.681
1959,Celtics,52-20,0.722
1960,Celtics,59-16,0.787
1961,Celtics,57-22,0.722
1962,Celtics,60-20,0.75
1963,Celtics,58-22,0.725
1964,Celtics,59-21,0.738
1965,Celtics,62-18,0.775
1966,Celtics,54-26,0.675
1967,Celtics,60-21,0.741
1968,Celtics,54-28,0.659
1969,Celtics,48-34,0.585
1970,Celtics,34-48,0.415
1971,Celtics,44-38,0.537
1972,Celtics,56-26,0.683
1973,Celtics,68-14,0.829
1974,Celtics,56-26,0.683
1975,Celtics,60-22,0.732
1976,Celtics,54-28,0.659
1977,Celtics,44-38,0.537
1978,Celtics,32-50,0.39
1979,Celtics,29-53,0.354
1980,Celtics,61-21,0.744
1981,Celtics,62-20,0.756
1982,Celtics,63-19,0.768
1983,Celtics,56-26,0.683
1984,Celtics,62-20,0.756
1985,Celtics,63-19,0.768
1986,Celtics,67-15,0.817
1987,Celtics,59-23,0.72
1988,Celtics,57-25,0.695
1989,Celtics,42-40,0.512
1990,Celtics,52-30,0.634
1991,Celtics,56-26,0.683
1992,Celtics,51-31,0.622
1993,Celtics,48-34,0.585
1994,Celtics,32-50,0.39
1995,Celtics,35-47,0.427
1996,Celtics,33-49,0.402
1997,Celtics,15-67,0.183
1998,Celtics,36-46,0.439
1999,Celtics,19-31,0.38
2000,Celtics,35-47,0.427
2001,Celtics,36-46,0.439
2002,Celtics,49-33,0.598
2003,Celtics,44-38,0.537
2004,Celtics,36-46,0.439
2005,Celtics,45-37,0.549
2006,Celtics,33-49,0.402
2007,Celtics,24-58,0.293
2008,Celtics,66-16,0.805
2009,Celtics,62-20,0.756
2010,Celtics,50-32,0.61
2011,Celtics,56-26,0.683
2012,Celtics,39-27,0.591
2013,Celtics,41-40,0.506
2014,Celtics,25-57,0.305
2015,Celtics,40-42,0.488
2016,Celtics,48-34,0.585
2017,Celtics,25-15,0.625
1979,Clippers,43-39,0.524
1980,Clippers,35-47,0.427
1981,Clippers,36-46,0.439
1982,Clippers,17-65,0.207
1983,Clippers,25-57,0.305
1984,Clippers,30-52,0.366
1985,Clippers,31-51,0.378
1986,Clippers,32-50,0.39
1987,Clippers,Dec-70,0.146
1988,Clippers,17-65,0.207
1989,Clippers,21-61,0.256
1990,Clippers,30-52,0.366
1991,Clippers,31-51,0.378
1992,Clippers,45-37,0.549
1993,Clippers,41-41,0.5
1994,Clippers,27-55,0.329
1995,Clippers,17-65,0.207
1996,Clippers,29-53,0.354
1997,Clippers,36-46,0.439
1998,Clippers,17-65,0.207
1999,Clippers,13-69,0.18
2000,Clippers,15-67,0.183
2001,Clippers,31-51,0.378
2002,Clippers,39-43,0.476
2003,Clippers,27-55,0.329
2004,Clippers,28-54,0.341
2005,Clippers,37-45,0.451
2006,Clippers,47-35,0.573
2007,Clippers,40-42,0.488
2008,Clippers,23-59,0.28
2009,Clippers,19-63,0.232
2010,Clippers,29-53,0.354
2011,Clippers,32-50,0.39
2012,Clippers,40-26,0.606
2013,Clippers,56-26,0.683
2014,Clippers,57-25,0.695
2015,Clippers,56-26,0.683
2016,Clippers,53-29,0.646
2017,Clippers,29-16,0.644
1996,Grizzlies,15-67,0.183
1997,Grizzlies,14-68,0.171
1998,Grizzlies,19-63,0.232
1999,Grizzlies,Dec-70,0.16
2000,Grizzlies,22-60,0.268
2001,Grizzlies,23-59,0.28
2002,Grizzlies,23-59,0.28
2003,Grizzlies,28-54,0.341
2004,Grizzlies,50-32,0.61
2005,Grizzlies,45-37,0.549
2006,Grizzlies,49-33,0.598
2007,Grizzlies,22-60,0.268
2008,Grizzlies,22-60,0.268
2009,Grizzlies,24-58,0.293
2010,Grizzlies,40-42,0.488
2011,Grizzlies,46-36,0.561
2012,Grizzlies,41-25,0.621
2013,Grizzlies,56-26,0.683
2014,Grizzlies,50-32,0.61
2015,Grizzlies,55-27,0.671
2016,Grizzlies,42-40,0.512
2017,Grizzlies,26-20,0.565
1952,Hawks,17-49,0.258
1953,Hawks,27-44,0.38
1954,Hawks,21-51,0.292
1955,Hawks,26-46,0.361
1956,Hawks,33-39,0.458
1957,Hawks,34-38,0.472
1958,Hawks,41-31,0.569
1959,Hawks,49-23,0.681
1960,Hawks,46-29,0.613
1961,Hawks,51-28,0.646
1962,Hawks,29-51,0.363
1963,Hawks,48-32,0.6
1964,Hawks,46-34,0.575
1965,Hawks,45-35,0.563
1966,Hawks,36-44,0.45
1967,Hawks,39-42,0.481
1968,Hawks,56-26,0.683
1969,Hawks,48-34,0.585
1970,Hawks,48-34,0.585
1971,Hawks,36-46,0.439
1972,Hawks,36-46,0.439
1973,Hawks,46-36,0.561
1974,Hawks,35-47,0.427
1975,Hawks,31-51,0.378
1976,Hawks,29-53,0.354
1977,Hawks,31-51,0.378
1978,Hawks,41-41,0.5
1979,Hawks,46-36,0.561
1980,Hawks,50-32,0.61
1981,Hawks,31-51,0.378
1982,Hawks,42-40,0.512
1983,Hawks,43-39,0.524
1984,Hawks,40-42,0.488
1985,Hawks,34-48,0.415
1986,Hawks,50-32,0.61
1987,Hawks,57-25,0.695
1988,Hawks,50-32,0.61
1989,Hawks,52-30,0.634
1990,Hawks,41-41,0.5
1991,Hawks,43-39,0.524
1992,Hawks,38-44,0.463
1993,Hawks,43-39,0.524
1994,Hawks,57-25,0.695
1995,Hawks,42-40,0.512
1996,Hawks,46-36,0.561
1997,Hawks,56-26,0.683
1998,Hawks,50-32,0.61
1999,Hawks,31-19,0.62
2000,Hawks,28-54,0.341
2001,Hawks,25-57,0.305
2002,Hawks,33-49,0.402
2003,Hawks,35-47,0.427
2004,Hawks,28-54,0.341
2005,Hawks,13-69,0.159
2006,Hawks,26-56,0.317
2007,Hawks,30-52,0.366
2008,Hawks,37-45,0.451
2009,Hawks,47-35,0.573
2010,Hawks,53-29,0.646
2011,Hawks,44-38,0.537
2012,Hawks,40-26,0.606
2013,Hawks,44-38,0.537
2014,Hawks,38-44,0.463
2015,Hawks,60-22,0.732
2016,Hawks,48-34,0.585
2017,Hawks,23-17,0.575
1989,Heat,15-67,0.183
1990,Heat,18-64,0.22
1991,Heat,24-58,0.293
1992,Heat,38-44,0.463
1993,Heat,36-46,0.439
1994,Heat,42-40,0.512
1995,Heat,32-50,0.39
1996,Heat,42-40,0.512
1997,Heat,61-21,0.744
1998,Heat,55-27,0.671
1999,Heat,33-17,0.66
2000,Heat,52-30,0.634
2001,Heat,50-32,0.61
2002,Heat,36-46,0.439
2003,Heat,25-57,0.305
2004,Heat,42-40,0.512
2005,Heat,59-23,0.72
2006,Heat,52-30,0.634
2007,Heat,44-38,0.537
2008,Heat,15-67,0.183
2009,Heat,43-39,0.524
2010,Heat,47-35,0.573
2011,Heat,58-24,0.707
2012,Heat,46-20,0.697
2013,Heat,66-16,0.805
2014,Heat,54-28,0.659
2015,Heat,37-45,0.451
2016,Heat,48-34,0.585
2017,Heat,14-30,0.318
1989,Hornets,20-62,0.244
1990,Hornets,19-63,0.232
1991,Hornets,26-56,0.317
1992,Hornets,31-51,0.378
1993,Hornets,44-38,0.537
1994,Hornets,41-41,0.5
1995,Hornets,50-32,0.61
1996,Hornets,41-41,0.5
1997,Hornets,54-28,0.659
1998,Hornets,51-31,0.622
1999,Hornets,26-24,0.52
2000,Hornets,49-33,0.598
2001,Hornets,46-36,0.561
2002,Hornets,44-38,0.537
2003,Hornets,47-35,0.573
2004,Hornets,41-41,0.5
2005,Hornets,18-64,0.22
2006,Hornets,38-44,0.463
2007,Hornets,39-43,0.476
2008,Hornets,56-26,0.683
2009,Hornets,49-33,0.598
2010,Hornets,37-45,0.451
2011,Hornets,46-36,0.561
2012,Hornets,21-45,0.318
2013,Hornets,27-55,0.329
2015,Hornets,33-49,0.402
2016,Hornets,48-34,0.585
2017,Hornets,22-21,0.512
1975,Jazz,23-59,0.28
1976,Jazz,38-44,0.463
1977,Jazz,35-47,0.427
1978,Jazz,39-43,0.476
1979,Jazz,26-56,0.317
1980,Jazz,24-58,0.293
1981,Jazz,28-54,0.341
1982,Jazz,25-57,0.305
1983,Jazz,30-52,0.366
1984,Jazz,45-37,0.549
1985,Jazz,41-41,0.5
1986,Jazz,42-40,0.512
1987,Jazz,44-38,0.537
1988,Jazz,47-35,0.573
1989,Jazz,51-31,0.622
1990,Jazz,55-27,0.671
1991,Jazz,54-28,0.659
1992,Jazz,55-27,0.671
1993,Jazz,47-35,0.573
1994,Jazz,53-29,0.646
1995,Jazz,60-22,0.732
1996,Jazz,55-27,0.671
1997,Jazz,64-18,0.78
1998,Jazz,62-20,0.756
1999,Jazz,37-13,0.74
2000,Jazz,55-27,0.671
2001,Jazz,53-29,0.646
2002,Jazz,44-38,0.537
2003,Jazz,47-35,0.573
2004,Jazz,42-40,0.512
2005,Jazz,26-56,0.317
2006,Jazz,41-41,0.5
2007,Jazz,51-31,0.622
2008,Jazz,54-28,0.659
2009,Jazz,48-34,0.585
2010,Jazz,53-29,0.646
2011,Jazz,39-43,0.476
2012,Jazz,36-30,0.545
2013,Jazz,43-39,0.524
2014,Jazz,25-57,0.305
2015,Jazz,38-44,0.463
2016,Jazz,40-42,0.488
2017,Jazz,29-16,0.644
1973,Kings,36-46,0.439
1974,Kings,33-49,0.402
1975,Kings,44-38,0.537
1976,Kings,31-51,0.378
1977,Kings,40-42,0.488
1978,Kings,31-51,0.378
1979,Kings,48-34,0.585
1980,Kings,47-35,0.573
1981,Kings,40-42,0.488
1982,Kings,30-52,0.366
1983,Kings,45-37,0.549
1984,Kings,38-44,0.463
1985,Kings,31-51,0.378
1986,Kings,37-45,0.451
1987,Kings,29-53,0.354
1988,Kings,24-58,0.293
1989,Kings,27-55,0.329
1990,Kings,23-59,0.28
1991,Kings,25-57,0.305
1992,Kings,29-53,0.354
1993,Kings,25-57,0.305
1994,Kings,28-54,0.341
1995,Kings,39-43,0.476
1996,Kings,39-43,0.476
1997,Kings,34-48,0.415
1998,Kings,27-55,0.329
1999,Kings,27-23,0.54
2000,Kings,44-38,0.537
2001,Kings,55-27,0.671
2002,Kings,61-21,0.744
2003,Kings,59-23,0.72
2004,Kings,55-27,0.671
2005,Kings,50-32,0.61
2006,Kings,44-38,0.537
2007,Kings,33-49,0.402
2008,Kings,38-44,0.463
2009,Kings,17-65,0.207
2010,Kings,25-57,0.305
2011,Kings,24-58,0.293
2012,Kings,22-44,0.333
2013,Kings,28-54,0.341
2014,Kings,28-54,0.341
2015,Kings,29-53,0.354
2016,Kings,33-49,0.402
2017,Kings,16-27,0.372
1947,Knicks,33-27,0.55
1948,Knicks,26-22,0.542
1949,Knicks,32-28,0.533
1950,Knicks,40-28,0.588
1951,Knicks,36-30,0.545
1952,Knicks,37-29,0.561
1953,Knicks,47-23,0.671
1954,Knicks,44-28,0.611
1955,Knicks,38-34,0.528
1956,Knicks,35-37,0.486
1957,Knicks,36-36,0.5
1958,Knicks,35-37,0.486
1959,Knicks,40-32,0.556
1960,Knicks,27-48,0.36
1961,Knicks,21-58,0.266
1962,Knicks,29-51,0.363
1963,Knicks,21-59,0.263
1964,Knicks,22-58,0.275
1965,Knicks,31-49,0.388
1966,Knicks,30-50,0.375
1967,Knicks,36-45,0.444
1968,Knicks,43-39,0.524
1969,Knicks,54-28,0.659
1970,Knicks,60-22,0.732
1971,Knicks,52-30,0.634
1972,Knicks,48-34,0.585
1973,Knicks,57-25,0.695
1974,Knicks,49-33,0.598
1975,Knicks,40-42,0.488
1976,Knicks,38-44,0.463
1977,Knicks,40-42,0.488
1978,Knicks,43-39,0.524
1979,Knicks,31-51,0.378
1980,Knicks,39-43,0.476
1981,Knicks,50-32,0.61
1982,Knicks,33-49,0.402
1983,Knicks,44-38,0.537
1984,Knicks,47-35,0.573
1985,Knicks,24-58,0.293
1986,Knicks,23-59,0.28
1987,Knicks,24-58,0.293
1988,Knicks,38-44,0.463
1989,Knicks,52-30,0.634
1990,Knicks,45-37,0.549
1991,Knicks,39-43,0.476
1992,Knicks,51-31,0.622
1993,Knicks,60-22,0.732
1994,Knicks,57-25,0.695
1995,Knicks,55-27,0.671
1996,Knicks,47-35,0.573
1997,Knicks,57-25,0.695
1998,Knicks,43-39,0.524
1999,Knicks,27-23,0.54
2000,Knicks,50-32,0.61
2001,Knicks,32-50,0.39
2001,Knicks,48-34,0.585
2002,Knicks,30-52,0.366
2002,Knicks,19-26,0.422
2003,Knicks,37-45,0.451
2004,Knicks,39-43,0.476
2005,Knicks,33-49,0.402
2006,Knicks,23-59,0.28
2007,Knicks,33-49,0.402
2008,Knicks,23-59,0.28
2009,Knicks,32-50,0.39
2010,Knicks,29-53,0.354
2011,Knicks,42-40,0.512
2012,Knicks,36-30,0.545
2013,Knicks,54-28,0.659
2014,Knicks,37-45,0.451
2015,Knicks,17-65,0.207
1949,Lakers,44-16,0.733
1950,Lakers,51-17,0.75
1951,Lakers,44-24,0.647
1952,Lakers,40-26,0.606
1953,Lakers,48-22,0.686
1954,Lakers,46-26,0.639
1955,Lakers,40-32,0.556
1956,Lakers,33-39,0.458
1957,Lakers,34-38,0.472
1958,Lakers,19-53,0.264
1959,Lakers,33-39,0.458
1960,Lakers,25-50,0.333
1961,Lakers,36-43,0.456
1962,Lakers,54-26,0.675
1963,Lakers,53-27,0.663
1964,Lakers,42-38,0.525
1965,Lakers,49-31,0.613
1966,Lakers,45-35,0.563
1967,Lakers,36-45,0.444
1968,Lakers,52-30,0.634
1969,Lakers,55-27,0.671
1970,Lakers,46-36,0.561
1971,Lakers,48-34,0.585
1972,Lakers,69-13,0.841
1973,Lakers,60-22,0.732
1974,Lakers,47-35,0.573
1975,Lakers,30-52,0.366
1976,Lakers,40-42,0.488
1977,Lakers,53-29,0.646
1978,Lakers,45-37,0.549
1979,Lakers,47-35,0.573
1980,Lakers,60-22,0.732
1981,Lakers,54-28,0.659
1982,Lakers,57-25,0.695
1983,Lakers,58-24,0.707
1984,Lakers,54-28,0.659
1985,Lakers,62-20,0.756
1986,Lakers,62-20,0.756
1987,Lakers,65-17,0.793
1988,Lakers,62-20,0.756
1989,Lakers,57-25,0.695
1990,Lakers,63-19,0.768
1991,Lakers,58-24,0.707
1992,Lakers,43-39,0.524
1993,Lakers,39-43,0.476
1994,Lakers,33-49,0.402
1995,Lakers,48-34,0.585
1996,Lakers,53-29,0.646
1997,Lakers,56-26,0.683
1998,Lakers,61-21,0.744
1999,Lakers,31-19,0.62
2000,Lakers,67-15,0.817
2001,Lakers,56-26,0.683
2002,Lakers,58-24,0.707
2003,Lakers,50-32,0.61
2004,Lakers,56-26,0.683
2005,Lakers,34-48,0.415
2006,Lakers,45-37,0.549
2007,Lakers,42-40,0.512
2008,Lakers,57-25,0.695
2009,Lakers,65-17,0.793
2010,Lakers,57-25,0.695
2011,Lakers,57-25,0.695
2012,Lakers,41-25,0.621
2013,Lakers,45-37,0.549
2014,Lakers,27-55,0.329
2015,Lakers,21-61,0.256
2016,Lakers,17-65,0.207
2017,Lakers,16-32,0.333
1990,Magic,18-64,0.22
1991,Magic,31-51,0.378
1992,Magic,21-61,0.256
1993,Magic,41-41,0.5
1994,Magic,50-32,0.61
1995,Magic,57-25,0.695
1996,Magic,60-22,0.732
1997,Magic,45-37,0.549
1998,Magic,41-41,0.5
1999,Magic,33-17,0.66
2000,Magic,41-41,0.5
2001,Magic,43-39,0.524
2002,Magic,44-38,0.537
2003,Magic,42-40,0.512
2004,Magic,21-61,0.256
2005,Magic,36-46,0.439
2006,Magic,36-46,0.439
2007,Magic,40-42,0.488
2008,Magic,52-30,0.634
2009,Magic,59-23,0.72
2010,Magic,59-23,0.72
2011,Magic,52-30,0.634
2012,Magic,37-29,0.561
2013,Magic,20-62,0.244
2014,Magic,23-59,0.28
2015,Magic,25-57,0.305
2016,Magic,35-47,0.427
2017,Magic,18-28,0.391
1981,Mavericks,15-67,0.183
1982,Mavericks,28-54,0.341
1983,Mavericks,38-44,0.463
1984,Mavericks,43-39,0.524
1985,Mavericks,44-38,0.537
1986,Mavericks,44-38,0.537
1987,Mavericks,55-27,0.671
1988,Mavericks,53-29,0.646
1989,Mavericks,38-44,0.463
1990,Mavericks,47-35,0.573
1991,Mavericks,28-54,0.341
1992,Mavericks,22-60,0.268
1993,Mavericks,Nov-71,0.134
1994,Mavericks,13-69,0.159
1995,Mavericks,36-46,0.439
1996,Mavericks,26-56,0.317
1997,Mavericks,24-58,0.293
1998,Mavericks,20-62,0.244
1999,Mavericks,19-31,0.38
2000,Mavericks,40-42,0.488
2001,Mavericks,53-29,0.646
2002,Mavericks,57-25,0.695
2003,Mavericks,60-22,0.732
2004,Mavericks,52-30,0.634
2005,Mavericks,58-24,0.707
2006,Mavericks,60-22,0.732
2007,Mavericks,67-15,0.817
2008,Mavericks,51-31,0.622
2009,Mavericks,50-32,0.61
2010,Mavericks,55-27,0.671
2011,Mavericks,57-25,0.695
2012,Mavericks,36-30,0.545
2013,Mavericks,41-41,0.5
2014,Mavericks,49-33,0.598
2015,Mavericks,50-32,0.61
2016,Mavericks,42-40,0.512
2017,Mavericks,15-29,0.341
1950,Nationals,51-13,0.797
1951,Nationals,32-34,0.485
1952,Nationals,40-26,0.606
1953,Nationals,47-24,0.662
1954,Nationals,42-30,0.583
1955,Nationals,43-29,0.597
1956,Nationals,35-37,0.486
1957,Nationals,38-34,0.528
1958,Nationals,41-31,0.569
1959,Nationals,35-37,0.486
1960,Nationals,45-30,0.6
1961,Nationals,38-41,0.481
1962,Nationals,41-39,0.513
1963,Nationals,48-32,0.6
1977,Nets,22-60,0.268
1978,Nets,24-58,0.293
1979,Nets,37-45,0.451
1980,Nets,34-48,0.415
1981,Nets,24-58,0.293
1982,Nets,44-38,0.537
1983,Nets,49-33,0.598
1984,Nets,45-37,0.549
1985,Nets,42-40,0.512
1986,Nets,39-43,0.476
1987,Nets,24-58,0.293
1988,Nets,19-63,0.232
1989,Nets,26-56,0.317
1990,Nets,17-65,0.207
1991,Nets,26-56,0.317
1992,Nets,40-42,0.488
1993,Nets,43-39,0.524
1994,Nets,45-37,0.549
1995,Nets,30-52,0.366
1996,Nets,30-52,0.366
1997,Nets,26-56,0.317
1998,Nets,43-39,0.524
1999,Nets,16-34,0.32
2000,Nets,31-51,0.378
2001,Nets,26-56,0.317
2002,Nets,52-30,0.634
2003,Nets,49-33,0.598
2004,Nets,47-35,0.573
2005,Nets,42-40,0.512
2006,Nets,49-33,0.598
2007,Nets,41-41,0.5
2008,Nets,34-48,0.415
2009,Nets,34-48,0.415
2010,Nets,Dec-70,0.146
2011,Nets,24-58,0.293
2012,Nets,22-44,0.333
2013,Nets,49-33,0.598
2014,Nets,44-38,0.537
2015,Nets,38-44,0.463
2016,Nets,21-61,0.256
2017,Nets,22-60,0.214
1977,Nuggets,50-32,0.61
1978,Nuggets,48-34,0.585
1979,Nuggets,47-35,0.573
1980,Nuggets,30-52,0.366
1981,Nuggets,37-45,0.451
1982,Nuggets,46-36,0.561
1983,Nuggets,45-37,0.549
1984,Nuggets,38-44,0.463
1985,Nuggets,52-30,0.634
1986,Nuggets,47-35,0.573
1987,Nuggets,37-45,0.451
1988,Nuggets,54-28,0.659
1989,Nuggets,44-38,0.537
1990,Nuggets,43-39,0.524
